Hospital,Date,KPI,Value,Metric
Cavan General Hospital,2023-03-01,# > 24 Hours,73,All
Cavan General Hospital,2023-04-01,% Within 6 Hours,0.709,All
Cavan General Hospital,2023-04-01,% Within 9 Hours,0.834,All
Cavan General Hospital,2023-04-01,% Within 24 Hours,0.992,All
Cavan General Hospital,2023-04-01,# > 24 Hours,30,All
Cavan General Hospital,2023-05-01,% Within 6 Hours,0.685,All
Cavan General Hospital,2023-05-01,% Within 9 Hours,0.805,All
Cavan General Hospital,2023-05-01,% Within 24 Hours,0.965,All
Cavan General Hospital,2023-05-01,# > 24 Hours,150,All
Cavan General Hospital,2023-06-01,% Within 6 Hours,0.686,All
Cavan General Hospital,2023-06-01,% Within 9 Hours,0.809,All
Cavan General Hospital,2023-06-01,% Within 24 Hours,0.976,All
Cavan General Hospital,2023-06-01,# > 24 Hours,99,All
Cavan General Hospital,2023-07-01,% Within 6 Hours,0.596,All
Cavan General Hospital,2023-07-01,% Within 9 Hours,0.757,All
Cavan General Hospital,2023-07-01,% Within 24 Hours,0.992,All
Cavan General Hospital,2023-07-01,# > 24 Hours,25,All
Cavan General Hospital,2023-08-01,% Within 6 Hours,0.554,All
Cavan General Hospital,2023-08-01,% Within 9 Hours,0.719,All
Cavan General Hospital,2023-08-01,% Within 24 Hours,0.968,All
Cavan General Hospital,2023-08-01,# > 24 Hours,98,All
Cavan General Hospital,2023-09-01,% Within 6 Hours,0.552,All
Cavan General Hospital,2023-09-01,% Within 9 Hours,0.72,All
Cavan General Hospital,2023-09-01,% Within 24 Hours,0.966,All
Cavan General Hospital,2023-09-01,# > 24 Hours,102,All
Connolly Hospital,2022-01-01,% Within 6 Hours,0.524,All
Connolly Hospital,2022-01-01,% Within 9 Hours,0.713,All
Connolly Hospital,2022-01-01,% Within 24 Hours,0.997,All
Connolly Hospital,2022-01-01,# > 24 Hours,10,All
Connolly Hospital,2022-02-01,% Within 6 Hours,0.514,All
Connolly Hospital,2022-02-01,% Within 9 Hours,0.714,All
Connolly Hospital,2022-02-01,% Within 24 Hours,0.999,All
Connolly Hospital,2022-02-01,# > 24 Hours,4,All
Connolly Hospital,2022-03-01,% Within 6 Hours,0.493,All
Connolly Hospital,2022-03-01,% Within 9 Hours,0.738,All
Connolly Hospital,2022-03-01,% Within 24 Hours,1,All
Connolly Hospital,2022-03-01,# > 24 Hours,2,All
Connolly Hospital,2022-04-01,% Within 6 Hours,0.529,All
Connolly Hospital,2022-04-01,% Within 9 Hours,0.747,All
Connolly Hospital,2022-04-01,% Within 24 Hours,1,All
Connolly Hospital,2022-04-01,# > 24 Hours,1,All
Connolly Hospital,2022-05-01,% Within 6 Hours,0.525,All
Connolly Hospital,2022-05-01,% Within 9 Hours,0.728,All
Connolly Hospital,2022-05-01,% Within 24 Hours,0.996,All
Connolly Hospital,2022-05-01,# > 24 Hours,15,All
Connolly Hospital,2022-06-01,% Within 6 Hours,0.485,All
Connolly Hospital,2022-06-01,% Within 9 Hours,0.682,All
Connolly Hospital,2022-06-01,% Within 24 Hours,0.988,All
Connolly Hospital,2022-06-01,# > 24 Hours,49,All
Connolly Hospital,2022-07-01,% Within 6 Hours,0.484,All
Connolly Hospital,2022-07-01,% Within 9 Hours,0.678,All
Connolly Hospital,2022-07-01,% Within 24 Hours,0.991,All
Connolly Hospital,2022-07-01,# > 24 Hours,39,All
Connolly Hospital,2022-08-01,% Within 6 Hours,0.497,All
Connolly Hospital,2022-08-01,% Within 9 Hours,0.69,All
Connolly Hospital,2022-08-01,% Within 24 Hours,0.986,All
Connolly Hospital,2022-08-01,# > 24 Hours,60,All
Connolly Hospital,2022-09-01,% Within 6 Hours,0.511,All
Connolly Hospital,2022-09-01,% Within 9 Hours,0.727,All
Connolly Hospital,2022-09-01,% Within 24 Hours,1,All
Connolly Hospital,2022-09-01,# > 24 Hours,2,All
Connolly Hospital,2022-10-01,% Within 6 Hours,0.499,All
Connolly Hospital,2022-10-01,% Within 9 Hours,0.709,All
Connolly Hospital,2022-10-01,% Within 24 Hours,0.999,All
Connolly Hospital,2022-10-01,# > 24 Hours,5,All
Connolly Hospital,2022-11-01,% Within 6 Hours,0.461,All
Connolly Hospital,2022-11-01,% Within 9 Hours,0.667,All
Connolly Hospital,2022-11-01,% Within 24 Hours,0.996,All
Connolly Hospital,2022-11-01,# > 24 Hours,16,All
Connolly Hospital,2022-12-01,% Within 6 Hours,0.434,All
Connolly Hospital,2022-12-01,% Within 9 Hours,0.632,All
Connolly Hospital,2022-12-01,% Within 24 Hours,0.977,All
Connolly Hospital,2022-12-01,# > 24 Hours,96,All
Connolly Hospital,2023-01-01,% Within 6 Hours,0.482,All
Connolly Hospital,2023-01-01,% Within 9 Hours,0.679,All
Connolly Hospital,2023-01-01,% Within 24 Hours,0.988,All
Connolly Hospital,2023-01-01,# > 24 Hours,48,All
Connolly Hospital,2023-02-01,% Within 6 Hours,0.511,All
Connolly Hospital,2023-02-01,% Within 9 Hours,0.737,All
Connolly Hospital,2023-02-01,% Within 24 Hours,0.999,All
Connolly Hospital,2023-02-01,# > 24 Hours,4,All
Connolly Hospital,2023-03-01,% Within 6 Hours,0.437,All
Connolly Hospital,2023-03-01,% Within 9 Hours,0.647,All
Connolly Hospital,2023-03-01,% Within 24 Hours,0.997,All
Connolly Hospital,2023-03-01,# > 24 Hours,14,All
Connolly Hospital,2023-04-01,% Within 6 Hours,0.441,All
Connolly Hospital,2023-04-01,% Within 9 Hours,0.65,All
Connolly Hospital,2023-04-01,% Within 24 Hours,0.997,All
Connolly Hospital,2023-04-01,# > 24 Hours,12,All
Connolly Hospital,2023-05-01,% Within 6 Hours,0.499,All
Connolly Hospital,2023-05-01,% Within 9 Hours,0.74,All
Connolly Hospital,2023-05-01,% Within 24 Hours,0.999,All
Connolly Hospital,2023-05-01,# > 24 Hours,4,All
Connolly Hospital,2023-06-01,% Within 6 Hours,0.485,All
Connolly Hospital,2023-06-01,% Within 9 Hours,0.686,All
Connolly Hospital,2023-06-01,% Within 24 Hours,1,All
Connolly Hospital,2023-06-01,# > 24 Hours,2,All
Connolly Hospital,2023-07-01,% Within 6 Hours,0.514,All
Connolly Hospital,2023-07-01,% Within 9 Hours,0.742,All
Connolly Hospital,2023-07-01,% Within 24 Hours,0.998,All
Connolly Hospital,2023-07-01,# > 24 Hours,7,All
Connolly Hospital,2023-08-01,% Within 6 Hours,0.464,All
Connolly Hospital,2023-08-01,% Within 9 Hours,0.675,All
Connolly Hospital,2023-08-01,% Within 24 Hours,0.999,All
Connolly Hospital,2023-08-01,# > 24 Hours,5,All
Connolly Hospital,2023-09-01,% Within 6 Hours,0.478,All
Connolly Hospital,2023-09-01,% Within 9 Hours,0.694,All
Connolly Hospital,2023-09-01,% Within 24 Hours,0.999,All
Connolly Hospital,2023-09-01,# > 24 Hours,4,All
Our Lady of Lourdes Hospital,2022-01-01,% Within 6 Hours,0.567,All
Our Lady of Lourdes Hospital,2022-01-01,% Within 9 Hours,0.729,All
Our Lady of Lourdes Hospital,2022-01-01,% Within 24 Hours,0.972,All
Our Lady of Lourdes Hospital,2022-01-01,# > 24 Hours,150,All
Our Lady of Lourdes Hospital,2022-02-01,% Within 6 Hours,0.541,All
Our Lady of Lourdes Hospital,2022-02-01,% Within 9 Hours,0.694,All
Our Lady of Lourdes Hospital,2022-02-01,% Within 24 Hours,0.96,All
Our Lady of Lourdes Hospital,2022-02-01,# > 24 Hours,215,All
Our Lady of Lourdes Hospital,2022-03-01,% Within 6 Hours,0.53,All
Our Lady of Lourdes Hospital,2022-03-01,% Within 9 Hours,0.685,All
Our Lady of Lourdes Hospital,2022-03-01,% Within 24 Hours,0.972,All
Our Lady of Lourdes Hospital,2022-03-01,# > 24 Hours,176,All
Our Lady of Lourdes Hospital,2022-04-01,% Within 6 Hours,0.591,All
Our Lady of Lourdes Hospital,2022-04-01,% Within 9 Hours,0.752,All
Our Lady of Lourdes Hospital,2022-04-01,% Within 24 Hours,0.995,All
Our Lady of Lourdes Hospital,2022-04-01,# > 24 Hours,31,All
Our Lady of Lourdes Hospital,2022-05-01,% Within 6 Hours,0.588,All
Our Lady of Lourdes Hospital,2022-05-01,% Within 9 Hours,0.736,All
Our Lady of Lourdes Hospital,2022-05-01,% Within 24 Hours,0.987,All
Our Lady of Lourdes Hospital,2022-05-01,# > 24 Hours,79,All
Our Lady of Lourdes Hospital,2022-06-01,% Within 6 Hours,0.555,All
Our Lady of Lourdes Hospital,2022-06-01,% Within 9 Hours,0.711,All
Our Lady of Lourdes Hospital,2022-06-01,% Within 24 Hours,0.97,All
Our Lady of Lourdes Hospital,2022-06-01,# > 24 Hours,174,All
Our Lady of Lourdes Hospital,2022-07-01,% Within 6 Hours,0.543,All
Our Lady of Lourdes Hospital,2022-07-01,% Within 9 Hours,0.712,All
Our Lady of Lourdes Hospital,2022-07-01,% Within 24 Hours,0.977,All
Our Lady of Lourdes Hospital,2022-07-01,# > 24 Hours,125,All
Our Lady of Lourdes Hospital,2022-08-01,% Within 6 Hours,0.551,All
Our Lady of Lourdes Hospital,2022-08-01,% Within 9 Hours,0.717,All
Our Lady of Lourdes Hospital,2022-08-01,% Within 24 Hours,0.99,All
Our Lady of Lourdes Hospital,2022-08-01,# > 24 Hours,54,All
Our Lady of Lourdes Hospital,2022-09-01,% Within 6 Hours,0.564,All
Our Lady of Lourdes Hospital,2022-09-01,% Within 9 Hours,0.73,All
Our Lady of Lourdes Hospital,2022-09-01,% Within 24 Hours,0.994,All
Our Lady of Lourdes Hospital,2022-09-01,# > 24 Hours,35,All
Our Lady of Lourdes Hospital,2022-10-01,% Within 6 Hours,0.52,All
Our Lady of Lourdes Hospital,2022-10-01,% Within 9 Hours,0.681,All
Our Lady of Lourdes Hospital,2022-10-01,% Within 24 Hours,0.97,All
Our Lady of Lourdes Hospital,2022-10-01,# > 24 Hours,186,All
Our Lady of Lourdes Hospital,2022-11-01,% Within 6 Hours,0.533,All
Our Lady of Lourdes Hospital,2022-11-01,% Within 9 Hours,0.698,All
Our Lady of Lourdes Hospital,2022-11-01,% Within 24 Hours,0.957,All
Our Lady of Lourdes Hospital,2022-11-01,# > 24 Hours,257,All
Our Lady of Lourdes Hospital,2022-12-01,% Within 6 Hours,0.478,All
Our Lady of Lourdes Hospital,2022-12-01,% Within 9 Hours,0.656,All
Our Lady of Lourdes Hospital,2022-12-01,% Within 24 Hours,0.918,All
Our Lady of Lourdes Hospital,2022-12-01,# > 24 Hours,495,All
Our Lady of Lourdes Hospital,2023-01-01,% Within 6 Hours,0.543,All
Our Lady of Lourdes Hospital,2023-01-01,% Within 9 Hours,0.681,All
Our Lady of Lourdes Hospital,2023-01-01,% Within 24 Hours,0.943,All
Our Lady of Lourdes Hospital,2023-01-01,# > 24 Hours,307,All
Our Lady of Lourdes Hospital,2023-02-01,% Within 6 Hours,0.52,All
Our Lady of Lourdes Hospital,2023-02-01,% Within 9 Hours,0.687,All
Our Lady of Lourdes Hospital,2023-02-01,% Within 24 Hours,0.95,All
Our Lady of Lourdes Hospital,2023-02-01,# > 24 Hours,268,All
Our Lady of Lourdes Hospital,2023-03-01,% Within 6 Hours,0.494,All
Our Lady of Lourdes Hospital,2023-03-01,% Within 9 Hours,0.682,All
Our Lady of Lourdes Hospital,2023-03-01,% Within 24 Hours,0.954,All
Our Lady of Lourdes Hospital,2023-03-01,# > 24 Hours,287,All
Our Lady of Lourdes Hospital,2023-04-01,% Within 6 Hours,0.539,All
Our Lady of Lourdes Hospital,2023-04-01,% Within 9 Hours,0.718,All
Our Lady of Lourdes Hospital,2023-04-01,% Within 24 Hours,0.969,All
Our Lady of Lourdes Hospital,2023-04-01,# > 24 Hours,174,All
Our Lady of Lourdes Hospital,2023-05-01,% Within 6 Hours,0.538,All
Our Lady of Lourdes Hospital,2023-05-01,% Within 9 Hours,0.697,All
Our Lady of Lourdes Hospital,2023-05-01,% Within 24 Hours,0.943,All
Our Lady of Lourdes Hospital,2023-05-01,# > 24 Hours,366,All
Our Lady of Lourdes Hospital,2023-06-01,% Within 6 Hours,0.565,All
Our Lady of Lourdes Hospital,2023-06-01,% Within 9 Hours,0.739,All
Our Lady of Lourdes Hospital,2023-06-01,% Within 24 Hours,0.986,All
Our Lady of Lourdes Hospital,2023-06-01,# > 24 Hours,83,All
Our Lady of Lourdes Hospital,2023-07-01,% Within 6 Hours,0.557,All
Our Lady of Lourdes Hospital,2023-07-01,% Within 9 Hours,0.721,All
Our Lady of Lourdes Hospital,2023-07-01,% Within 24 Hours,0.996,All
Our Lady of Lourdes Hospital,2023-07-01,# > 24 Hours,25,All
Our Lady of Lourdes Hospital,2023-08-01,% Within 6 Hours,0.517,All
Our Lady of Lourdes Hospital,2023-08-01,% Within 9 Hours,0.678,All
Our Lady of Lourdes Hospital,2023-08-01,% Within 24 Hours,0.975,All
Our Lady of Lourdes Hospital,2023-08-01,# > 24 Hours,142,All
Our Lady of Lourdes Hospital,2023-09-01,% Within 6 Hours,0.548,All
Our Lady of Lourdes Hospital,2023-09-01,% Within 9 Hours,0.708,All
Our Lady of Lourdes Hospital,2023-09-01,% Within 24 Hours,0.976,All
Our Lady of Lourdes Hospital,2023-09-01,# > 24 Hours,142,All
Galway University Hospitals,2022-01-01,% Within 6 Hours,0.526,All
Galway University Hospitals,2022-01-01,% Within 9 Hours,0.707,All
Galway University Hospitals,2022-01-01,% Within 24 Hours,0.928,All
Galway University Hospitals,2022-01-01,# > 24 Hours,400,All
Galway University Hospitals,2022-02-01,% Within 6 Hours,0.497,All
Galway University Hospitals,2022-02-01,% Within 9 Hours,0.7,All
Galway University Hospitals,2022-02-01,% Within 24 Hours,0.926,All
Galway University Hospitals,2022-02-01,# > 24 Hours,428,All
Galway University Hospitals,2022-03-01,% Within 6 Hours,0.502,All
Galway University Hospitals,2022-03-01,% Within 9 Hours,0.698,All
Galway University Hospitals,2022-03-01,% Within 24 Hours,0.924,All
Galway University Hospitals,2022-03-01,# > 24 Hours,493,All
Galway University Hospitals,2022-04-01,% Within 6 Hours,0.496,All
Galway University Hospitals,2022-04-01,% Within 9 Hours,0.677,All
Galway University Hospitals,2022-04-01,% Within 24 Hours,0.929,All
Galway University Hospitals,2022-04-01,# > 24 Hours,436,All
Galway University Hospitals,2022-05-01,% Within 6 Hours,0.492,All
Galway University Hospitals,2022-05-01,% Within 9 Hours,0.687,All
Galway University Hospitals,2022-05-01,% Within 24 Hours,0.927,All
Galway University Hospitals,2022-05-01,# > 24 Hours,508,All
Galway University Hospitals,2022-06-01,% Within 6 Hours,0.496,All
Galway University Hospitals,2022-06-01,% Within 9 Hours,0.689,All
Galway University Hospitals,2022-06-01,% Within 24 Hours,0.927,All
Galway University Hospitals,2022-06-01,# > 24 Hours,467,All
Galway University Hospitals,2022-07-01,% Within 6 Hours,0.464,All
Galway University Hospitals,2022-07-01,% Within 9 Hours,0.656,All
Galway University Hospitals,2022-07-01,% Within 24 Hours,0.913,All
Galway University Hospitals,2022-07-01,# > 24 Hours,548,All
Galway University Hospitals,2022-08-01,% Within 6 Hours,0.473,All
Galway University Hospitals,2022-08-01,% Within 9 Hours,0.662,All
Galway University Hospitals,2022-08-01,% Within 24 Hours,0.908,All
Galway University Hospitals,2022-08-01,# > 24 Hours,583,All
Galway University Hospitals,2022-09-01,% Within 6 Hours,0.503,All
Galway University Hospitals,2022-09-01,% Within 9 Hours,0.7,All
Galway University Hospitals,2022-09-01,% Within 24 Hours,0.923,All
Galway University Hospitals,2022-09-01,# > 24 Hours,489,All
Galway University Hospitals,2022-10-01,% Within 6 Hours,0.427,All
Galway University Hospitals,2022-10-01,% Within 9 Hours,0.637,All
Galway University Hospitals,2022-10-01,% Within 24 Hours,0.921,All
Galway University Hospitals,2022-10-01,# > 24 Hours,519,All
Galway University Hospitals,2022-11-01,% Within 6 Hours,0.448,All
Galway University Hospitals,2022-11-01,% Within 9 Hours,0.654,All
Galway University Hospitals,2022-11-01,% Within 24 Hours,0.928,All
Galway University Hospitals,2022-11-01,# > 24 Hours,459,All
Galway University Hospitals,2022-12-01,% Within 6 Hours,0.388,All
Galway University Hospitals,2022-12-01,% Within 9 Hours,0.594,All
Galway University Hospitals,2022-12-01,% Within 24 Hours,0.891,All
Galway University Hospitals,2022-12-01,# > 24 Hours,678,All
Galway University Hospitals,2023-01-01,% Within 6 Hours,0.511,All
Galway University Hospitals,2023-01-01,% Within 9 Hours,0.711,All
Galway University Hospitals,2023-01-01,% Within 24 Hours,0.933,All
Galway University Hospitals,2023-01-01,# > 24 Hours,382,All
Galway University Hospitals,2023-02-01,% Within 6 Hours,0.447,All
Galway University Hospitals,2023-02-01,% Within 9 Hours,0.658,All
Galway University Hospitals,2023-02-01,% Within 24 Hours,0.93,All
Galway University Hospitals,2023-02-01,# > 24 Hours,402,All
Galway University Hospitals,2023-03-01,% Within 6 Hours,0.4,All
Galway University Hospitals,2023-03-01,% Within 9 Hours,0.607,All
Galway University Hospitals,2023-03-01,% Within 24 Hours,0.914,All
Galway University Hospitals,2023-03-01,# > 24 Hours,564,All
Galway University Hospitals,2023-04-01,% Within 6 Hours,0.429,All
Galway University Hospitals,2023-04-01,% Within 9 Hours,0.63,All
Galway University Hospitals,2023-04-01,% Within 24 Hours,0.911,All
Galway University Hospitals,2023-04-01,# > 24 Hours,531,All
Galway University Hospitals,2023-05-01,% Within 6 Hours,0.458,All
Galway University Hospitals,2023-05-01,% Within 9 Hours,0.657,All
Galway University Hospitals,2023-05-01,% Within 24 Hours,0.927,All
Galway University Hospitals,2023-05-01,# > 24 Hours,491,All
Galway University Hospitals,2023-06-01,% Within 6 Hours,0.449,All
Galway University Hospitals,2023-06-01,% Within 9 Hours,0.657,All
Galway University Hospitals,2023-06-01,% Within 24 Hours,0.941,All
Galway University Hospitals,2023-06-01,# > 24 Hours,368,All
Galway University Hospitals,2023-07-01,% Within 6 Hours,0.448,All
Galway University Hospitals,2023-07-01,% Within 9 Hours,0.655,All
Galway University Hospitals,2023-07-01,% Within 24 Hours,0.954,All
Galway University Hospitals,2023-07-01,# > 24 Hours,297,All
Galway University Hospitals,2023-08-01,% Within 6 Hours,0.48,All
Galway University Hospitals,2023-08-01,% Within 9 Hours,0.679,All
Galway University Hospitals,2023-08-01,% Within 24 Hours,0.928,All
Galway University Hospitals,2023-08-01,# > 24 Hours,457,All
Galway University Hospitals,2023-09-01,% Within 6 Hours,0.503,All
Galway University Hospitals,2023-09-01,% Within 9 Hours,0.716,All
Galway University Hospitals,2023-09-01,% Within 24 Hours,0.957,All
Galway University Hospitals,2023-09-01,# > 24 Hours,281,All
Letterkenny University Hospital,2022-01-01,% Within 6 Hours,0.661,All
Letterkenny University Hospital,2022-01-01,% Within 9 Hours,0.803,All
Letterkenny University Hospital,2022-01-01,% Within 24 Hours,0.985,All
Letterkenny University Hospital,2022-01-01,# > 24 Hours,55,All
Letterkenny University Hospital,2022-02-01,% Within 6 Hours,0.624,All
Letterkenny University Hospital,2022-02-01,% Within 9 Hours,0.78,All
Letterkenny University Hospital,2022-02-01,% Within 24 Hours,0.966,All
Letterkenny University Hospital,2022-02-01,# > 24 Hours,125,All
Letterkenny University Hospital,2022-03-01,% Within 6 Hours,0.645,All
Letterkenny University Hospital,2022-03-01,% Within 9 Hours,0.786,All
Letterkenny University Hospital,2022-03-01,% Within 24 Hours,0.965,All
Letterkenny University Hospital,2022-03-01,# > 24 Hours,148,All
Letterkenny University Hospital,2022-04-01,% Within 6 Hours,0.629,All
Letterkenny University Hospital,2022-04-01,% Within 9 Hours,0.808,All
Letterkenny University Hospital,2022-04-01,% Within 24 Hours,0.992,All
Letterkenny University Hospital,2022-04-01,# > 24 Hours,32,All
Letterkenny University Hospital,2022-05-01,% Within 6 Hours,0.654,All
Letterkenny University Hospital,2022-05-01,% Within 9 Hours,0.824,All
Letterkenny University Hospital,2022-05-01,% Within 24 Hours,0.994,All
Letterkenny University Hospital,2022-05-01,# > 24 Hours,29,All
Letterkenny University Hospital,2022-06-01,% Within 6 Hours,0.658,All
Letterkenny University Hospital,2022-06-01,% Within 9 Hours,0.813,All
Letterkenny University Hospital,2022-06-01,% Within 24 Hours,0.987,All
Letterkenny University Hospital,2022-06-01,# > 24 Hours,55,All
Letterkenny University Hospital,2022-07-01,% Within 6 Hours,0.654,All
Letterkenny University Hospital,2022-07-01,% Within 9 Hours,0.793,All
Letterkenny University Hospital,2022-07-01,% Within 24 Hours,0.974,All
Letterkenny University Hospital,2022-07-01,# > 24 Hours,105,All
Letterkenny University Hospital,2022-08-01,% Within 6 Hours,0.672,All
Letterkenny University Hospital,2022-08-01,% Within 9 Hours,0.812,All
Letterkenny University Hospital,2022-08-01,% Within 24 Hours,0.98,All
Letterkenny University Hospital,2022-08-01,# > 24 Hours,86,All
Letterkenny University Hospital,2022-09-01,% Within 6 Hours,0.651,All
Letterkenny University Hospital,2022-09-01,% Within 9 Hours,0.781,All
Letterkenny University Hospital,2022-09-01,% Within 24 Hours,0.969,All
Letterkenny University Hospital,2022-09-01,# > 24 Hours,131,All
Letterkenny University Hospital,2022-10-01,% Within 6 Hours,0.659,All
Letterkenny University Hospital,2022-10-01,% Within 9 Hours,0.79,All
Letterkenny University Hospital,2022-10-01,% Within 24 Hours,0.965,All
Letterkenny University Hospital,2022-10-01,# > 24 Hours,149,All
Letterkenny University Hospital,2022-11-01,% Within 6 Hours,0.67,All
Letterkenny University Hospital,2022-11-01,% Within 9 Hours,0.794,All
Letterkenny University Hospital,2022-11-01,% Within 24 Hours,0.949,All
Letterkenny University Hospital,2022-11-01,# > 24 Hours,205,All
Letterkenny University Hospital,2022-12-01,% Within 6 Hours,0.689,All
Letterkenny University Hospital,2022-12-01,% Within 9 Hours,0.802,All
Letterkenny University Hospital,2022-12-01,% Within 24 Hours,0.961,All
Letterkenny University Hospital,2022-12-01,# > 24 Hours,160,All
Letterkenny University Hospital,2023-01-01,% Within 6 Hours,0.654,All
Letterkenny University Hospital,2023-01-01,% Within 9 Hours,0.794,All
Letterkenny University Hospital,2023-01-01,% Within 24 Hours,0.966,All
Letterkenny University Hospital,2023-01-01,# > 24 Hours,126,All
Letterkenny University Hospital,2023-02-01,% Within 6 Hours,0.549,All
Letterkenny University Hospital,2023-02-01,% Within 9 Hours,0.715,All
Letterkenny University Hospital,2023-02-01,% Within 24 Hours,0.966,All
Letterkenny University Hospital,2023-02-01,# > 24 Hours,131,All
Letterkenny University Hospital,2023-03-01,% Within 6 Hours,0.486,All
Letterkenny University Hospital,2023-03-01,% Within 9 Hours,0.66,All
Letterkenny University Hospital,2023-03-01,% Within 24 Hours,0.951,All
Letterkenny University Hospital,2023-03-01,# > 24 Hours,224,All
Letterkenny University Hospital,2023-04-01,% Within 6 Hours,0.511,All
Letterkenny University Hospital,2023-04-01,% Within 9 Hours,0.689,All
Letterkenny University Hospital,2023-04-01,% Within 24 Hours,0.966,All
Letterkenny University Hospital,2023-04-01,# > 24 Hours,146,All
Letterkenny University Hospital,2023-05-01,% Within 6 Hours,0.496,All
Letterkenny University Hospital,2023-05-01,% Within 9 Hours,0.684,All
Letterkenny University Hospital,2023-05-01,% Within 24 Hours,0.976,All
Letterkenny University Hospital,2023-05-01,# > 24 Hours,111,All
Letterkenny University Hospital,2023-06-01,% Within 6 Hours,0.487,All
Letterkenny University Hospital,2023-06-01,% Within 9 Hours,0.677,All
Letterkenny University Hospital,2023-06-01,% Within 24 Hours,0.973,All
Letterkenny University Hospital,2023-06-01,# > 24 Hours,119,All
Letterkenny University Hospital,2023-07-01,% Within 6 Hours,0.448,All
Letterkenny University Hospital,2023-07-01,% Within 9 Hours,0.652,All
Letterkenny University Hospital,2023-07-01,% Within 24 Hours,0.968,All
Letterkenny University Hospital,2023-07-01,# > 24 Hours,139,All
Letterkenny University Hospital,2023-08-01,% Within 6 Hours,0.443,All
Letterkenny University Hospital,2023-08-01,% Within 9 Hours,0.636,All
Letterkenny University Hospital,2023-08-01,% Within 24 Hours,0.96,All
Letterkenny University Hospital,2023-08-01,# > 24 Hours,177,All
Letterkenny University Hospital,2023-09-01,% Within 6 Hours,0.458,All
Letterkenny University Hospital,2023-09-01,% Within 9 Hours,0.656,All
Letterkenny University Hospital,2023-09-01,% Within 24 Hours,0.956,All
Letterkenny University Hospital,2023-09-01,# > 24 Hours,189,All
Mayo University Hospital,2022-01-01,% Within 6 Hours,0.561,All
Mayo University Hospital,2022-01-01,% Within 9 Hours,0.754,All
Mayo University Hospital,2022-01-01,% Within 24 Hours,0.988,All
Mayo University Hospital,2022-01-01,# > 24 Hours,35,All
Mayo University Hospital,2022-02-01,% Within 6 Hours,0.535,All
Mayo University Hospital,2022-02-01,% Within 9 Hours,0.741,All
Mayo University Hospital,2022-02-01,% Within 24 Hours,0.991,All
Mayo University Hospital,2022-02-01,# > 24 Hours,27,All
Mayo University Hospital,2022-03-01,% Within 6 Hours,0.554,All
Mayo University Hospital,2022-03-01,% Within 9 Hours,0.748,All
Mayo University Hospital,2022-03-01,% Within 24 Hours,0.984,All
Mayo University Hospital,2022-03-01,# > 24 Hours,53,All
Mayo University Hospital,2022-04-01,% Within 6 Hours,0.575,All
Mayo University Hospital,2022-04-01,% Within 9 Hours,0.764,All
Mayo University Hospital,2022-04-01,% Within 24 Hours,0.991,All
Mayo University Hospital,2022-04-01,# > 24 Hours,28,All
Mayo University Hospital,2022-05-01,% Within 6 Hours,0.53,All
Mayo University Hospital,2022-05-01,% Within 9 Hours,0.744,All
Mayo University Hospital,2022-05-01,% Within 24 Hours,0.99,All
Mayo University Hospital,2022-05-01,# > 24 Hours,34,All
Mayo University Hospital,2022-06-01,% Within 6 Hours,0.507,All
Mayo University Hospital,2022-06-01,% Within 9 Hours,0.705,All
Mayo University Hospital,2022-06-01,% Within 24 Hours,0.984,All
Mayo University Hospital,2022-06-01,# > 24 Hours,52,All
Mayo University Hospital,2022-07-01,% Within 6 Hours,0.467,All
Mayo University Hospital,2022-07-01,% Within 9 Hours,0.666,All
Mayo University Hospital,2022-07-01,% Within 24 Hours,0.975,All
Mayo University Hospital,2022-07-01,# > 24 Hours,79,All
Mayo University Hospital,2022-08-01,% Within 6 Hours,0.492,All
Mayo University Hospital,2022-08-01,% Within 9 Hours,0.688,All
Mayo University Hospital,2022-08-01,% Within 24 Hours,0.985,All
Mayo University Hospital,2022-08-01,# > 24 Hours,51,All
Mayo University Hospital,2022-09-01,% Within 6 Hours,0.523,All
Mayo University Hospital,2022-09-01,% Within 9 Hours,0.722,All
Mayo University Hospital,2022-09-01,% Within 24 Hours,0.986,All
Mayo University Hospital,2022-09-01,# > 24 Hours,43,All
Mayo University Hospital,2022-10-01,% Within 6 Hours,0.543,All
Mayo University Hospital,2022-10-01,% Within 9 Hours,0.725,All
Mayo University Hospital,2022-10-01,% Within 24 Hours,0.987,All
Mayo University Hospital,2022-10-01,# > 24 Hours,42,All
Mayo University Hospital,2022-11-01,% Within 6 Hours,0.578,All
Mayo University Hospital,2022-11-01,% Within 9 Hours,0.758,All
Mayo University Hospital,2022-11-01,% Within 24 Hours,0.988,All
Mayo University Hospital,2022-11-01,# > 24 Hours,40,All
Mayo University Hospital,2022-12-01,% Within 6 Hours,0.517,All
Mayo University Hospital,2022-12-01,% Within 9 Hours,0.686,All
Mayo University Hospital,2022-12-01,% Within 24 Hours,0.975,All
Mayo University Hospital,2022-12-01,# > 24 Hours,88,All
Mayo University Hospital,2023-01-01,% Within 6 Hours,0.538,All
Mayo University Hospital,2023-01-01,% Within 9 Hours,0.745,All
Mayo University Hospital,2023-01-01,% Within 24 Hours,0.991,All
Mayo University Hospital,2023-01-01,# > 24 Hours,27,All
Mayo University Hospital,2023-02-01,% Within 6 Hours,0.57,All
Mayo University Hospital,2023-02-01,% Within 9 Hours,0.804,All
